718050,2
1383,1
9075,1
6526,1
4720,1
24047,1
10407,1
165,2
538,1
5654,1
63390,1
2569,2
1525,1
5828,1
30740,1
3253,1
1946,1
4510,1
0,93
346,1
2171,1
340,1
7512,1
342,1
343,2
811,2
812,2
163,2
13166,1
665,1
817,4
595,1
3929,1
2915,1
718,1
16770,1
715,2
2854,1
3493,1
3332,1
1493,1
5467,1
914,1
1499,1
1700,4
1701,1
4731,1
1704,1
1706,21
1528,1
26505,1
2312,2
1392,1
1096,1
298,1
299,1
10804,1
297,1
294,1
295,3
10802,1
1128,2
1129,3
10098,1
199,1
198,1
596,1
195,1
194,1
1122,2
1123,1
1124,1
1139,1
193,1
192,3
270,5
271,7
272,4
273,1
14428,2
276,1
279,2
3670,1
738,1
8661,1
524,3
525,2
46,7
1018,1
1527,3
1015,5
1016,1
1011,1
994,1
1234,1
97524,1
448,2
4211,1
1233,1
1335,1
2761,1
125106,1
447,2
444,5
215,1
108,6
109,1
6937,3
102,1
103,3
100,4
101,1
106,2
107,5
104,4
5776,1
31481,7
903,5
900,1
2045,1
2043,1
7624,2
33,7
32,4
31,8
30,10
37,3
36,5
35,7
34,2
641,1
640,2
1243,1
246,1
1108,1
1531,1
1530,1
436,1
437,1
434,1
435,1
432,1
4675,1
430,1
11619,2
339,1
338,2
335,2
334,3
337,1
242,2
330,2
333,1
3802,1
4103,6
559,1
3296,1
2481,1
1902,1
37792,1
2128,1
850,1
44762,1
345,1
3512,1
2867,1
36539,1
21688,1
19688,2
347,2
28665,1
554,3
1469,1
6987,1
2687,1
557,2
2683,2
39817,2
174,4
7379,1
99,6
4777,1
9743,2
91,2
90,3
93,3
92,6
95,2
94,5
97,6
96,7
3207,1
165643,1
4078,1
1431,1
4179,1
815,1
8934,1
60209,5
84370,1
3963,1
35401,1
15738,1
740,1
744,1
1569,1
747,7
748,2
2869,1
3634,1
550,1
552,2
5717,1
238,18
239,1
12058,2
234,2
235,2
236,3
237,2
230,2
15666,1
232,3
233,1
1054,1
1055,4
7074,1
1059,1
7070,1
1194,1
1196,6
1,45
1694,1
1692,1
2941,1
1756,1
1755,1
1752,1
1699,1
1177,1
147,6
145,6
142,4
143,1
140,3
141,1
613,3
611,2
616,1
148,8
712,2
1888,1
12468,1
18143,1
1005,1
120,3
1280,3
3117,1
2083,1
944,1
11161,1
4910,3
4663,1
7188,1
1058,1
1579,1
688,1
1474,1
1573,1
686,1
1576,1
2534,3
5173,1
1305,1
6391,1
819,1
2653,1
1195,1
2651,1
20171,1
2654,1
133,4
132,4
131,2
130,4
137,2
499,1
135,2
134,2
15285,1
4225,1
139,4
138,2
491,1
492,1
493,1
24,7
25,2
26,6
27,7
20,4
1413,1
22,5
23,8
21851,1
28,20
29,5
5588,1
407,1
406,2
2019,1
1341,1
932,2
931,1
930,2
937,1
452,1
2013,1
1069,2
3836,1
33098,2
14104,1
27727,1
7927,1
5994,1
13688,1
1229,1
5263,1
1828,1
9000,1
7319,1
6434,1
3568,2
4134,1
78249,1
64635,4
379,2
4147,1
828,1
4482,1
371,9
373,16
372,2
374,1
